,max_batch_cls,timesteps,ELBO
0,1,1,85.22895405130478
1,1,2,79.77058931924765
2,1,3,77.49627801746998
3,1,4,76.16838924630174
4,1,5,75.2953115759544
5,1,10,73.21276521682739
6,1,19,71.83287873777371
7,2,1,85.19037959182147
8,2,2,82.66884948211967
9,2,3,80.06112902835734
10,2,4,78.47867830054274
11,2,5,77.52598663904135
12,2,10,75.22371513866683
13,2,19,73.5369333943117
